#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Korra says : " Uncle , why do you think the dark spirits are following us ? " 
1-1	0-5	Korra	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-20	Uncle	*	PER	_	_
1-6	21-22	,	_	_	_	_
1-7	23-26	why	_	_	_	_
1-8	27-29	do	_	_	_	_
1-9	30-33	you	_	_	*->2-1	*[2]
1-10	34-39	think	_	_	_	_
1-11	40-43	the	_	_	*->3-1	*[3]
1-12	44-48	dark	_	_	*->3-1	*[3]
1-13	49-56	spirits	_	_	*->3-1	*[3]
1-14	57-60	are	_	_	_	_
1-15	61-70	following	_	_	_	_
1-16	71-73	us	_	_	_	_
1-17	74-75	?	_	_	_	_
1-18	76-77	"	_	_	_	_

#Text=Bolin says : " Can we not talk about dark spirits , please ? " 
2-1	78-83	Bolin	*	PER	*->4-1	*[4]
2-2	84-88	says	_	_	_	_
2-3	89-90	:	_	_	_	_
2-4	91-92	"	_	_	_	_
2-5	93-96	Can	_	_	_	_
2-6	97-99	we	_	_	*->2-2	*[2]
2-7	100-103	not	_	_	_	_
2-8	104-108	talk	_	_	_	_
2-9	109-114	about	_	_	_	_
2-10	115-119	dark	_	_	*->3-2	*[3]
2-11	120-127	spirits	_	_	*->3-2	*[3]
2-12	128-129	,	_	_	_	_
2-13	130-136	please	_	_	_	_
2-14	137-138	?	_	_	_	_
2-15	139-140	"	_	_	_	_

#Text=Mako says : " My brother does n't like ghost stories . " 
3-1	141-145	Mako	*	PER	*->5-1	*[5]
3-2	146-150	says	_	_	_	_
3-3	151-152	:	_	_	_	_
3-4	153-154	"	_	_	_	_
3-5	155-157	My	_	_	*->5-2	*[5]
3-6	158-165	brother	_	_	_	_
3-7	166-170	does	_	_	_	_
3-8	171-174	n't	_	_	_	_
3-9	175-179	like	_	_	_	_
3-10	180-185	ghost	_	_	_	_
3-11	186-193	stories	_	_	_	_
3-12	194-195	.	_	_	_	_
3-13	196-197	"	_	_	_	_

#Text=Eska says : " Do n't worry . 
4-1	198-202	Eska	*	PER	*->7-1	*[7]
4-2	203-207	says	_	_	_	_
4-3	208-209	:	_	_	_	_
4-4	210-211	"	_	_	_	_
4-5	212-214	Do	_	_	_	_
4-6	215-218	n't	_	_	_	_
4-7	219-224	worry	_	_	_	_
4-8	225-226	.	_	_	_	_

#Text=I will protect you , my feeble turtle duck . 
