#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Zuko says : " Well , what does that mean ? " 
1-1	0-4	Zuko	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	Well	_	_	_	_
1-6	19-20	,	_	_	_	_
1-7	21-25	what	_	_	_	_
1-8	26-30	does	_	_	_	_
1-9	31-35	that	_	_	*->2-1	*[2]
1-10	36-40	mean	_	_	_	_
1-11	41-42	?	_	_	_	_
1-12	43-44	"	_	_	_	_

#Text=June says : " Means your friend 's gone . " 
2-1	45-49	June	_	_	*->3-1	*[3]
2-2	50-54	says	_	_	_	_
2-3	55-56	:	_	_	_	_
2-4	57-58	"	_	_	_	_
2-5	59-64	Means	_	_	_	_
2-6	65-69	your	_	_	*->1-2	*[1]
2-7	70-76	friend	_	_	_	_
2-8	77-79	's	_	_	_	_
2-9	80-84	gone	_	_	_	_
2-10	85-86	.	_	_	_	_
2-11	87-88	"	_	_	_	_

#Text=Toph says : " We know he 's gone . 
3-1	89-93	Toph	*	PER	*->4-1	*[4]
3-2	94-98	says	_	_	_	_
3-3	99-100	:	_	_	_	_
3-4	101-102	"	_	_	_	_
3-5	103-105	We	_	_	*->2-2	*[2]
3-6	106-110	know	_	_	_	_
3-7	111-113	he	_	_	*->3-2	*[3]
3-8	114-116	's	_	_	_	_
3-9	117-121	gone	_	_	_	_
3-10	122-123	.	_	_	_	_

#Text=That 's why we 're trying to find him . 
4-1	124-128	That	_	_	*->2-3	*[2]
4-2	129-131	's	_	_	_	_
4-3	132-135	why	_	_	_	_
4-4	136-138	we	_	_	*->2-4	*[2]
4-5	139-142	're	_	_	_	_
4-6	143-149	trying	_	_	_	_
4-7	150-152	to	_	_	_	_
4-8	153-157	find	_	_	_	_
4-9	158-161	him	_	_	*->3-3	*[3]
4-10	162-163	.	_	_	_	_

#Text=" June says : " No , I mean he 's gone gone . 
5-1	164-165	"	_	_	_	_
5-2	166-170	June	_	_	*->3-4	*[3]
5-3	171-175	says	_	_	_	_
5-4	176-177	:	_	_	_	_
5-5	178-179	"	_	_	_	_
5-6	180-182	No	_	_	_	_
5-7	183-184	,	_	_	_	_
5-8	185-186	I	_	_	*->3-5	*[3]
5-9	187-191	mean	_	_	_	_
5-10	192-194	he	_	_	*->4-2	*[4]
5-11	195-197	's	_	_	_	_
5-12	198-202	gone	_	_	_	_
5-13	203-207	gone	_	_	_	_
5-14	208-209	.	_	_	_	_

#Text=He does n't exist . 
6-1	210-212	He	_	_	*->4-3	*[4]
6-2	213-217	does	_	_	_	_
6-3	218-221	n't	_	_	_	_
6-4	222-227	exist	_	_	_	_
6-5	228-229	.	_	_	_	_

#Text=" 
7-1	230-231	"	_	_	_	_
