#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Katara says : " Aang ! 
1-1	0-6	Katara	*	PER	_	_
1-2	7-11	says	_	_	_	_
1-3	12-13	:	_	_	_	_
1-4	14-15	"	_	_	*->1-1	*[1]
1-5	16-20	Aang	_	_	*->1-1	*[1]
1-6	21-22	!	_	_	_	_

#Text=Snap out of it ! 
2-1	23-27	Snap	_	_	_	_
2-2	28-31	out	_	_	_	_
2-3	32-34	of	_	_	_	_
2-4	35-37	it	_	_	*->1-2	*[1]
2-5	38-39	!	_	_	_	_

#Text=" 
3-1	40-41	"	_	_	_	_
